# Time Tags
# 2025-04-30 15:19:24
# Unit Time Tag: 1.000ps
# Unit Channel: 1
# Time Tag ; Channel
    1595665120787168 ;                    3
    1595665906110144 ;                    2
    1595666158085324 ;                    2
    1595666233784315 ;                    4
    1595666839730672 ;                    2
    1595666993254006 ;                    1
    1595667138402168 ;                    2
    1595667242874831 ;                    2
    1595667264482386 ;                    1
    1595667443732254 ;                    2
    1595667448727450 ;                    2
    1595667493550790 ;                    2
    1595667506968810 ;                    2
    1595667507495964 ;                    1
    1595667562745362 ;                    2
    1595667657409242 ;                    3
    1595667707871018 ;                    2
    1595667714589661 ;                    1
    1595667749011207 ;                    2
    1595667826772790 ;                    2
    1595668125524422 ;                    1
    1595668128552291 ;                    1
    1595668236602408 ;                    4
    1595668260408587 ;                    1
    1595668289190976 ;                    3
    1595668339913785 ;                    1
    1595668386685079 ;                    2
    1595668995347582 ;                    4
    1595669197195623 ;                    4
    1595670108958536 ;                    1
    1595670904151738 ;                    2
    1595671163598332 ;                    2
    1595671254401249 ;                    2
    1595671254841811 ;                    1
    1595671313308533 ;                    2
    1595671371096287 ;                    1
    1595671414259796 ;                    2
    1595671497481230 ;                    1
    1595671644071796 ;                    2
    1595671656429158 ;                    2
    1595671761040992 ;                    2
    1595671911761899 ;                    2
    1595671920008066 ;                    1
    1595671930124733 ;                    4
    1595671941864372 ;                    2
    1595671989808386 ;                    1
    1595672103715018 ;                    2
    1595672125907112 ;                    1
    1595672196825394 ;                    1
    1595672264945835 ;                    2
    1595672323639314 ;                    2
    1595672358674469 ;                    2
    1595672378214575 ;                    2
    1595672421320658 ;                    2
    1595672445332006 ;                    1
    1595672466258143 ;                    3
    1595672480072049 ;                    2
    1595672664166254 ;                    2
    1595672689865467 ;                    2
    1595672960181148 ;                    4
    1595673054081722 ;                    1
    1595673055788983 ;                    1
    1595673179042254 ;                    2
    1595673204123976 ;                    2
    1595673258826185 ;                    3
    1595673378495972 ;                    3
    1595673426779682 ;                    1
    1595673661477213 ;                    1
    1595674544223029 ;                    1
    1595674680265964 ;                    1
    1595674900105351 ;                    1
    1595675163214422 ;                    1
    1595675290339722 ;                    1
    1595675441799519 ;                    2
    1595675528867625 ;                    2
    1595675887511293 ;                    2
    1595675968804810 ;                    2
    1595675988708453 ;                    2
    1595676002986148 ;                    1
    1595676103538761 ;                    2
    1595676175495796 ;                    2
    1595676185377964 ;                    1
    1595676266266895 ;                    2
    1595676277390111 ;                    2
    1595676277955280 ;                    1
    1595676320659099 ;                    1
    1595676367322406 ;                    2
    1595676436498111 ;                    2
    1595676448262937 ;                    1
    1595676474330682 ;                    1
    1595676492735899 ;                    2
    1595676812987447 ;                    4
    1595677132579246 ;                    1
    1595677539621480 ;                    1
    1595677734492430 ;                    3
    1595677820230085 ;                    3
    1595677869324453 ;                    2
    1595677933232983 ;                    1
    1595678443304110 ;                    3
    1595678977144184 ;                    4
    1595679214275519 ;                    2
    1595679331995170 ;                    1
    1595679554693821 ;                    2
    1595679887923213 ;                    1
    1595679961801345 ;                    2
    1595679967050536 ;                    1
    1595680009921582 ;                    4
    1595680139194859 ;                    2
    1595680309381519 ;                    2
    1595680331684950 ;                    2
    1595680356969494 ;                    2
    1595680371975294 ;                    1
    1595680405977903 ;                    1
    1595680470388482 ;                    1
    1595680479267341 ;                    4
    1595680487508699 ;                    2
    1595680516571394 ;                    1
    1595680551213258 ;                    1
    1595680560895519 ;                    2
    1595680607407816 ;                    2
    1595680609058004 ;                    2
    1595680680571883 ;                    2
    1595680842103956 ;                    2
    1595680906987937 ;                    2
    1595681124691375 ;                    4
    1595681447994290 ;                    3
    1595681456523018 ;                    2
    1595682262742637 ;                    2
    1595682597109578 ;                    1
    1595682640646885 ;                    1
    1595683112157018 ;                    2
    1595683216521981 ;                    4
    1595683431459418 ;                    1
    1595683749960111 ;                    2
    1595683800742731 ;                    2
    1595683873894073 ;                    2
    1595683883681158 ;                    2
    1595683908634073 ;                    2
    1595683970835231 ;                    2
    1595684027009738 ;                    2
    1595684047657401 ;                    2
    1595684082794682 ;                    1
    1595684222686868 ;                    1
    1595684252025129 ;                    2
    1595684281856575 ;                    2
    1595684369951158 ;                    2
    1595684383684844 ;                    2
    1595684395920144 ;                    2
    1595684415731450 ;                    2
    1595684468984300 ;                    2
    1595684530287165 ;                    1
    1595684543995345 ;                    2
    1595684579604536 ;                    1
    1595684725219334 ;                    1
    1595684796302221 ;                    2
    1595684807043519 ;                    2
    1595684820190254 ;                    2
    1595684829926895 ;                    1
    1595684832562660 ;                    1
    1595684875076336 ;                    1
    1595684908275146 ;                    2
    1595684919354144 ;                    2
    1595685026647020 ;                    1
    1595685514481022 ;                    4
    1595685752207036 ;                    2
    1595685947833057 ;                    1
    1595686307206956 ;                    2
    1595686386378453 ;                    2
    1595686647831486 ;                    3
    1595687153399644 ;                    2
    1595687959058885 ;                    1
    1595687969892368 ;                    1
    1595688003375051 ;                    4
    1595688062888533 ;                    2
    1595688108615826 ;                    1
    1595688416359701 ;                    1
    1595688417641670 ;                    2
    1595688459645937 ;                    2
    1595688613104300 ;                    2
    1595688714037418 ;                    1
    1595688717764198 ;                    1
    1595688756439036 ;                    2
    1595688787717618 ;                    1
    1595688841709456 ;                    1
    1595688889227170 ;                    2
    1595688968573415 ;                    2
    1595689209835872 ;                    4
    1595689627759326 ;                    4
    1595689739789394 ;                    1
    1595689785441578 ;                    1
    1595690129521102 ;                    3
    1595690152868712 ;                    1
    1595690162668144 ;                    2
    1595690310334438 ;                    2
    1595690520731003 ;                    3
    1595691148796451 ;                    4
    1595691712071278 ;                    2
    1595691766363519 ;                    2
    1595691782030649 ;                    3
    1595691821461230 ;                    1
    1595691855989429 ;                    2
    1595691893023351 ;                    1
    1595691952140712 ;                    1
    1595692082979429 ;                    2
    1595692111194992 ;                    2
    1595692193301441 ;                    1
    1595692210297772 ;                    2
    1595692237224622 ;                    2
    1595692269826111 ;                    2
    1595692273388237 ;                    1
    1595692337843330 ;                    2
    1595692347681756 ;                    2
    1595692356456947 ;                    4
    1595692356920004 ;                    2
    1595692363454386 ;                    1
    1595692406187283 ;                    2
    1595692441202143 ;                    3
    1595692533235861 ;                    2
    1595692548842554 ;                    2
    1595692699251113 ;                    3
    1595692810441429 ;                    2
