# G(2) Function
# 2025-05-02 11:19:34
# Histogram Width = 16 ns
# Events Ch. 0 = 1.416e+08 
# Events Ch. 1 = 2.051e+08 
# Integr. Time = 00:19:36 h
# G(2) Norm = 395 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.6000000E-08 ;   1.0960980E+00
 -1.5983984E-08 ;   1.0150930E+00
 -1.5967968E-08 ;   1.0631900E+00
 -1.5951952E-08 ;   9.9484200E-01
 -1.5935936E-08 ;   1.0682520E+00
 -1.5919920E-08 ;   1.0100300E+00
 -1.5903904E-08 ;   1.1087550E+00
 -1.5887888E-08 ;   9.5687100E-01
 -1.5871872E-08 ;   1.0657210E+00
 -1.5855856E-08 ;   1.0201560E+00
 -1.5839840E-08 ;   9.5433900E-01
 -1.5823824E-08 ;   1.0657210E+00
 -1.5807808E-08 ;   1.1062230E+00
 -1.5791792E-08 ;   1.0176240E+00
 -1.5775776E-08 ;   1.0074990E+00
 -1.5759760E-08 ;   9.6446500E-01
 -1.5743744E-08 ;   1.1517890E+00
 -1.5727728E-08 ;   9.3408800E-01
 -1.5711712E-08 ;   1.0733150E+00
 -1.5695696E-08 ;   1.0682520E+00
 -1.5679680E-08 ;   9.7459000E-01
 -1.5663664E-08 ;   1.0125610E+00
 -1.5647648E-08 ;   1.0682520E+00
 -1.5631632E-08 ;   9.9484200E-01
 -1.5615616E-08 ;   1.0682520E+00
 -1.5599600E-08 ;   9.6193300E-01
 -1.5583584E-08 ;   9.6952800E-01
 -1.5567568E-08 ;   9.9484200E-01
 -1.5551552E-08 ;   1.0176240E+00
 -1.5535536E-08 ;   9.9737300E-01
 -1.5519520E-08 ;   1.0480010E+00
 -1.5503504E-08 ;   1.0707840E+00
 -1.5487487E-08 ;   1.0657210E+00
