# G(2) Function
# 2025-05-07 15:52:56
# Histogram Width = 6 ns
# Events Ch. 0 = 2.797e+08 
# Events Ch. 1 = 2.935e+08 
# Integr. Time = 00:54:51 h
# G(2) Norm = 748.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -6.0000000E-09 ;   1.0799620E+00
 -5.9698492E-09 ;   1.0532300E+00
 -5.9396985E-09 ;   1.0478840E+00
 -5.9095477E-09 ;   1.0091230E+00
 -5.8793970E-09 ;   1.0438740E+00
 -5.8492462E-09 ;   1.0171420E+00
 -5.8190955E-09 ;   9.8506400E-01
 -5.7889447E-09 ;   1.0732790E+00
 -5.7587940E-09 ;   1.1080300E+00
 -5.7286432E-09 ;   9.9442000E-01
 -5.6984925E-09 ;   1.0599130E+00
 -5.6683417E-09 ;   9.5833200E-01
 -5.6381910E-09 ;   9.9843000E-01
 -5.6080402E-09 ;   1.0812980E+00
 -5.5778894E-09 ;   1.0318450E+00
 -5.5477387E-09 ;   1.0051130E+00
 -5.5175879E-09 ;   1.0291710E+00
 -5.4874372E-09 ;   1.0732790E+00
 -5.4572864E-09 ;   9.9709300E-01
 -5.4271357E-09 ;   1.0532300E+00
 -5.3969849E-09 ;   1.0465470E+00
 -5.3668342E-09 ;   1.0117960E+00
 -5.3366834E-09 ;   1.0171420E+00
 -5.3065327E-09 ;   9.9442000E-01
 -5.2763819E-09 ;   9.8372700E-01
 -5.2462312E-09 ;   1.0011030E+00
 -5.2160804E-09 ;   1.0144690E+00
 -5.1859296E-09 ;   1.0438740E+00
 -5.1557789E-09 ;   1.0412010E+00
 -5.1256281E-09 ;   9.5565900E-01
 -5.0954774E-09 ;   9.4630300E-01
 -5.0653266E-09 ;   9.8773700E-01
 -5.0351759E-09 ;   9.5833200E-01
 -5.0050251E-09 ;   1.1013470E+00
 -4.9748744E-09 ;   9.9843000E-01
 -4.9447236E-09 ;   9.8506400E-01
 -4.9145729E-09 ;   1.0478840E+00
 -4.8844221E-09 ;   9.6768800E-01
 -4.8542714E-09 ;   9.0486900E-01
